0;58,87;0,47;TID;HEAT 1;HEAT 2;HEAT 3;HEAT 4
3,98;-10,71;-2,32;;;;;
3,99;-10,66;-1,91;;;;;
4;-10,84;-2,07;;;;;
4,01;-10,43;-1,99;;;;;
4,02;-10,89;-2,03;;;;;
4,03;-10,76;-1,91;;;;;
4,04;-10,76;-1,99;;;;;
4,05;-11,02;-1,99;;;;;
4,06;-11,15;-2,07;;;;;
4,07;-11,02;-2,15;;;;;
4,08;-10,97;-2,07;;;;;
4,09;-11,07;-2,03;;;;;
4,1;-10,99;-2,23;;;;;
4,11;-11,1;-2,07;;;;;
4,12;-11,05;-2,15;;;;;
4,13;-10,99;-2,07;;;;;
4,14;-10,94;-2,19;;;;;
4,15;-11,27;-2,11;;;;;
4,16;-11;-2,07;;;;;
4,17;-11,12;-2,19;;;;;
4,18;-11,33;-2,07;;;;;
4,19;-11,28;-2,15;;;;;
4,2;-10,71;-2,15;;;;;
4,21;-11,15;-2,19;;;;;
4,22;-11,17;-2,15;;;;;
4,23;-11,38;-2,03;;;;;
4,24;-11,17;-2,15;;;;;
4,25;-11,02;-2,07;;;;;
4,26;-10,94;-2,15;;;;;
4,27;-10,87;-2,07;;;;;
4,28;-11,05;-2,15;;;;;
4,29;-11,12;-1,99;;;;;
4,3;-10,77;-1,99;;;;;
4,31;-11,25;-1,95;;;;;
4,32;-11,28;-2,07;;;;;
4,33;-11,2;-2,03;;;;;
4,34;-11,02;-2,15;;;;;
4,35;-11,12;-1,95;;;;;
4,36;-11,07;-2,11;;;;;
4,37;-11,3;-2,15;;;;;
4,38;-11,28;-1,99;;;;;
4,39;-11,12;-1,99;;;;;
4,4;-11,28;-2,15;;;;;
4,41;-10,97;-1,99;;;;;
4,42;-10,94;-2,03;;;;;
4,43;-11,43;-2,23;;;;;
4,44;-11,28;-2,15;;;;;
4,45;-11,25;-1,95;;;;;
4,46;-11,05;-1,99;;;;;
4,47;-11,1;-2,11;;;;;
4,48;-11;-2,19;;;;;
4,49;-11,33;-2,19;;;;;
4,5;-11,05;-2,15;;;;;
4,51;-11,07;-2,07;;;;;
